error,lat,lng,POP100,GEOID,CENTLAT,AREAWATER,STATE,BASENAME,OID,LSADC,FUNCSTAT,INTPTLAT,NAME,OBJECTID,TRACT,CENTLON,HU100,AREALAND,INTPTLON,MTFCC,UR,COUNTY
400 Client Error:  for url: https://geocoding.geo.census.gov/geocoder/geographies/coordinates?x=Longitude+of+award%2Fproject+place+of+performance.&y=Latitude+of+award%2Fproject+place+of+performance.&benchmark=Public_AR_Census2020&vintage=Census2020_Census2020&format=json,Latitude of award/project place of performance.,Longitude of award/project place of performance.,,,,,,,,,,,,,,,,,,,,
,,,5580.0,49039972300.0,39.2285443,22463203.0,49.0,9723.0,20790191442739.0,CT,S,39.2282925,Census Tract 9723,40635.0,972300.0,-111.8546275,1378.0,943267584.0,-111.8534084,G5020,R,39.0
,,,3111.0,47149041102.0,35.8718925,0.0,47.0,411.02,207903717171105.0,CT,S,35.8718925,Census Tract 411.02,65503.0,41102.0,-86.3113203,1289.0,44395476.0,-86.3113203,G5020,M,149.0
,,,1265.0,38083960200.0,47.5751887,86198839.0,38.0,9602.0,20790312092170.0,CT,S,47.5813594,Census Tract 9602,22423.0,960200.0,-100.345607,808.0,2518053323.0,-100.3309858,G5020,R,83.0
,,,4278.0,5119004310.0,34.8950304,100675.0,5.0,43.1,2079015496520744.0,CT,S,34.8997692,Census Tract 43.10,36436.0,4310.0,-92.4164583,1904.0,17772763.0,-92.4166572,G5020,M,119.0
,,,4289.0,53007960502.0,47.4349758,721854.0,53.0,9605.02,2079015504626933.0,CT,S,47.4496055,Census Tract 9605.02,45421.0,960502.0,-120.60973,1724.0,628198418.0,-120.6033715,G5020,M,7.0
,,,4572.0,42027011201.0,40.8702514,0.0,42.0,112.01,207903716986993.0,CT,S,40.8702514,Census Tract 112.01,40112.0,11201.0,-77.8163373,2129.0,71300051.0,-77.8163373,G5020,M,27.0
,,,3689.0,27065480200.0,45.8874726,9769314.0,27.0,4802.0,20790196520777.0,CT,S,45.8830392,Census Tract 4802,14329.0,480200.0,-93.4203476,1895.0,387288753.0,-93.4217611,G5020,R,65.0
,,,4580.0,51029930202.0,37.5064174,3236253.0,51.0,9302.02,207903695965155.0,CT,S,37.5009543,Census Tract 9302.02,76316.0,930202.0,-78.619562,2222.0,642221692.0,-78.6274462,G5020,R,29.0
,,,5278.0,13035150201.0,33.2727233,546853.0,13.0,1502.01,2079015482472166.0,CT,S,33.2732248,Census Tract 1502.01,3391.0,150201.0,-83.9646115,2280.0,56975731.0,-83.9633779,G5020,M,35.0
,,,5687.0,21205950202.0,38.2230593,330894.0,21.0,9502.02,2079015502436390.0,CT,S,38.2474091,Census Tract 9502.02,3359.0,950202.0,-83.4272159,1676.0,57027545.0,-83.414314,G5020,M,205.0
,,,2947.0,39061003300.0,39.1298682,0.0,39.0,33.0,20790473217195.0,CT,S,39.1298682,Census Tract 33,48021.0,3300.0,-84.5064314,1572.0,528301.0,-84.5064314,G5020,U,61.0
,,,4658.0,42027011600.0,40.8246459,0.0,42.0,116.0,20790218516558.0,CT,S,40.8246459,Census Tract 116,64506.0,11600.0,-77.8384283,1616.0,18716080.0,-77.8384283,G5020,M,27.0
,,,2904.0,24031705400.0,38.9786948,0.0,24.0,7054.0,20790158102500.0,CT,S,38.9786948,Census Tract 7054,81019.0,705400.0,-77.0836487,1038.0,1965939.0,-77.0836487,G5020,U,31.0
,,,1582.0,40065968300.0,34.540931,1290091.0,40.0,9683.0,20790702915240.0,CT,S,34.5432821,Census Tract 9683,62018.0,968300.0,-99.5584481,868.0,1042649490.0,-99.557004,G5020,R,65.0
,,,4021.0,4001944201.0,36.1715598,266179.0,4.0,9442.01,207903717176359.0,CT,S,36.1534278,Census Tract 9442.01,57378.0,944201.0,-109.6864272,1336.0,502007070.0,-109.6853411,G5020,R,1.0
,,,5750.0,6077001200.0,37.9731305,70070.0,6.0,12.0,2079018476019.0,CT,S,37.9724931,Census Tract 12,30728.0,1200.0,-121.3091885,1886.0,2218740.0,-121.3089795,G5020,U,77.0
,,,3283.0,2110000500.0,58.3769738,525894243.0,2.0,5.0,2079045059743.0,CT,S,58.2840009,Census Tract 5,36192.0,500.0,-133.948135,1972.0,4947571855.0,-133.7864644,G5020,M,110.0
,,,3344.0,27021940002.0,47.32473,341526303.0,27.0,9400.02,20790505929649.0,CT,S,47.3178259,Census Tract 9400.02,44973.0,940002.0,-94.3119897,1608.0,828265823.0,-94.336341,G5020,R,21.0
,,,3624.0,40111000500.0,35.6495805,5986003.0,40.0,5.0,20790410608744.0,CT,S,35.647263,Census Tract 5,80568.0,500.0,-96.037697,1571.0,488013657.0,-96.0327158,G5020,R,111.0
,,,4470.0,2063000300.0,60.686132,8908762462.0,2.0,3.0,20790510123934.0,CT,S,60.5251372,Census Tract 3,66918.0,300.0,-147.4364495,2261.0,11053260531.0,-147.3610744,G5020,R,63.0
,,,3613.0,37183052603.0,35.8291119,0.0,37.0,526.03,20790166218319.0,CT,S,35.8291119,Census Tract 526.03,69537.0,52603.0,-78.6420368,1855.0,3104654.0,-78.6420368,G5020,U,183.0
,,,474.0,12051000601.0,26.424365,9573550.0,12.0,6.01,2079015500728718.0,CT,S,26.3895112,Census Tract 6.01,29078.0,601.0,-81.042997,213.0,1274562037.0,-81.0649967,G5020,R,51.0
,,,2627.0,40127097600.0,34.5763218,54778877.0,40.0,976.0,20790754591504.0,CT,S,34.580974,Census Tract 976,14002.0,97600.0,-95.2772756,1526.0,1205290556.0,-95.2910987,G5020,R,127.0
,,,5298.0,37101040905.0,35.5407285,0.0,37.0,409.05,2079015504415831.0,CT,S,35.5407285,Census Tract 409.05,23490.0,40905.0,-78.4105075,1976.0,49456942.0,-78.4105075,G5020,M,101.0
,,,2218.0,55079009100.0,43.0606753,0.0,55.0,91.0,20790453427423.0,CT,S,43.0606753,Census Tract 91,62071.0,9100.0,-87.9685281,883.0,508700.0,-87.9685281,G5020,U,79.0
,,,3827.0,21121930502.0,36.850742,654522.0,21.0,9305.02,2079015500890869.0,CT,S,36.8486108,Census Tract 9305.02,11887.0,930502.0,-83.8926678,1661.0,19256479.0,-83.8922081,G5020,M,121.0
,,,3252.0,42043021100.0,40.2963038,359192.0,42.0,211.0,20790470052284.0,CT,S,40.2982356,Census Tract 211,16587.0,21100.0,-76.8840781,1611.0,6539262.0,-76.8853679,G5020,U,43.0
,,,2578.0,13053020100.0,32.2729807,2004242.0,13.0,201.0,20790406582350.0,CT,S,32.2725435,Census Tract 201,63635.0,20100.0,-84.7516629,1271.0,154560513.0,-84.7487963,G5020,R,53.0
,,,2940.0,23017965900.0,44.4391835,4719119.0,23.0,9659.0,20790202467518.0,CT,S,44.4444489,Census Tract 9659,70058.0,965900.0,-70.7381999,2345.0,224150700.0,-70.7497897,G5020,R,17.0
,,,1847.0,26051000300.0,44.015997,6033934.0,26.0,3.0,2079052887934.0,CT,S,44.0165926,Census Tract 3,38029.0,300.0,-84.2369244,1731.0,350283124.0,-84.2387936,G5020,R,51.0
,,,2667.0,42079215702.0,41.1980013,1262221.0,42.0,2157.02,20790277158274.0,CT,S,41.2000871,Census Tract 2157.02,84475.0,215702.0,-76.1585925,1245.0,52519682.0,-76.151562,G5020,R,79.0
,,,4127.0,6037536104.0,33.9448594,0.0,6.0,5361.04,207903717304364.0,CT,S,33.9448594,Census Tract 5361.04,23909.0,536104.0,-118.1782351,1147.0,1964367.0,-118.1782351,G5020,U,37.0
,,,6876.0,44003020903.0,41.6330075,129489.0,44.0,209.03,20790226861815.0,CT,S,41.6331838,Census Tract 209.03,59390.0,20903.0,-71.5173783,2301.0,31664883.0,-71.524229,G5020,M,3.0
,,,3461.0,46061964100.0,43.6747048,2003166.0,46.0,9641.0,20790219383220.0,CT,S,43.6806116,Census Tract 9641,56089.0,964100.0,-97.7873282,1279.0,1125562873.0,-97.7968454,G5020,R,61.0
,,,5580.0,49039972300.0,39.2285443,22463203.0,49.0,9723.0,20790191442739.0,CT,S,39.2282925,Census Tract 9723,40635.0,972300.0,-111.8546275,1378.0,943267584.0,-111.8534084,G5020,R,39.0
,,,4868.0,27035951100.0,46.3346576,0.0,27.0,9511.0,20790506926157.0,CT,S,46.3346576,Census Tract 9511,41978.0,951100.0,-94.1852925,2125.0,15222524.0,-94.1852925,G5020,M,35.0
,,,3333.0,9007541401.0,41.572313,185298.0,9.0,5414.01,207903716548562.0,CT,S,41.5732605,Census Tract 5414.01,76705.0,541401.0,-72.7273089,1248.0,22388715.0,-72.7287676,G5020,M,7.0
