POP100,GEOID,CENTLAT,AREAWATER,STATE,BASENAME,OID,LSADC,FUNCSTAT,INTPTLAT,NAME,OBJECTID,TRACT,CENTLON,HU100,AREALAND,INTPTLON,MTFCC,UR,COUNTY
4340,48167720703,+29.4806225,89928,48,7207.03,2079019653749153,CT,S,+29.4802543,Census Tract 7207.03,31424,720703,-095.0900416,1785,4799441,-095.0891522,G5020,U,167
7449,48157675101,+29.5494112,30653,48,6751.01,2079015692352834,CT,S,+29.5495240,Census Tract 6751.01,78090,675101,-095.7669550,2700,5912574,-095.7665793,G5020,U,157
2175,48453046300,+30.4486568,0,48,463,2079015903180787,CT,S,+30.4486568,Census Tract 463,2050,046300,-097.6122968,830,2199331,-097.6122968,G5020,U,453
7925,48491020818,+30.5525427,118897,48,208.18,2079015694354418,CT,S,+30.5530771,Census Tract 208.18,17866,020818,-097.6117735,2563,6148338,-097.6127910,G5020,U,491
3699,48201310700,+29.7210983,27539,48,3107,20790326052859,CT,S,+29.7223865,Census Tract 3107,50736,310700,-095.3160719,1500,1947137,-095.3144687,G5020,U,201
6376,48349970701,+31.9977176,116254936,48,9707.01,2079015503954013,CT,S,+32.0019258,Census Tract 9707.01,24821,970701,-096.3316438,2903,322031284,-096.3294126,G5020,M,349
7699,48479001727,+27.6187243,21645,48,17.27,2079015486685353,CT,S,+27.6190694,Census Tract 17.27,34563,001727,-099.4401047,2134,27076842,-099.4306006,G5020,M,479
2680,48439114111,+32.9518298,103861,48,1141.11,2079015922201474,CT,S,+32.9533717,Census Tract 1141.11,49467,114111,-097.3734500,925,16575340,-097.3786364,G5020,M,439
3911,48339691403,+30.1179757,20054,48,6914.03,2079015657180852,CT,S,+30.1166782,Census Tract 6914.03,59190,691403,-095.4515652,1858,4118405,-095.4510219,G5020,U,339
9333,48027020301,+31.0962354,225363,48,203.01,2079015503987417,CT,S,+31.0951284,Census Tract 203.01,27799,020301,-097.4299800,3274,18857868,-097.4296268,G5020,M,027
5771,48201250500,+29.9931177,1189,48,2505,20790326040523,CT,S,+29.9929597,Census Tract 2505,57985,250500,-095.1961736,2119,4561493,-095.1954273,G5020,U,201
