,plant_name,Plant Code,State,Sector Name,Prime Movers,Fuel Types,Primary Technology,withdrawal_volume_million_gallons,discharge_volume_million_gallons,consumption_volume_million_gallons,energy_category,map_link,longitude,latitude
0,Pit 5,268,CA,Electric Utility,HY,WAT,Conventional Hydroelectric,,,,Renewable Energy Sources,"map/?center=-121.977594,40.986197&level=14",-121.977594,40.986197
1,Pit 6,269,CA,Electric Utility,HY,WAT,Conventional Hydroelectric,,,,Renewable Energy Sources,"map/?center=-121.992906,40.922568&level=14",-121.992906,40.922568
2,Pit 7,270,CA,Electric Utility,HY,WAT,Conventional Hydroelectric,,,,Renewable Energy Sources,"map/?center=-121.990798,40.847462&level=14",-121.990798,40.847462
3,Pitkin County Solar,65084,CO,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-106.876811,39.247705&level=14",-106.876811,39.247705
4,Pittman Solar One LLC,64646,MD,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-78.108,39.68753&level=14",-78.108,39.68753
5,Pitts Dudik Solar,67024,TX,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-96.8751,31.8932&level=14",-96.8751,31.8932
6,Pittsburgh Airport Gas Plant,64873,PA,IPP Non-CHP,IC,NG,Natural Gas Internal Combustion Engine,,,,Natural Gas,"map/?center=-80.233,40.495&level=14",-80.233,40.495
7,Pittsfield 44 - M&W PV,62264,MA,Electric Utility,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-73.215833,42.487419&level=14",-73.215833,42.487419
8,Pittsfield Generating LP,50002,MA,IPP CHP,"CA, CT",NG,Natural Gas Fired Combined Cycle,,,,Natural Gas,"map/?center=-73.2181,42.4564&level=14",-73.2181,42.4564
9,Pittsfield Hydro,54124,ME,IPP Non-CHP,HY,WAT,Conventional Hydroelectric,,,,Renewable Energy Sources,"map/?center=-69.411992,44.721371&level=14",-69.411992,44.721371
0,Pittsfield Solar (N. Main St),66956,ME,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-69.362419,44.782085&level=14",-69.362419,44.782085
1,Pittsfield Solar LLC,64078,ME,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-69.449561,44.814009&level=14",-69.449561,44.814009
2,Pittsford,3722,VT,Electric Utility,HY,WAT,Conventional Hydroelectric,,,,Renewable Energy Sources,"map/?center=-72.955,43.694&level=14",-72.955,43.694
3,Pittsgrove Solar,60740,NJ,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-75.179342,39.539042&level=14",-75.179342,39.539042
4,Pivot Energy Minnesota Solar 1,66480,MN,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-93.28033,44.12522&level=14",-93.28033,44.12522
5,Pivot Energy Minnesota Solar 10,66479,MN,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-94.863109,45.597629&level=14",-94.863109,45.597629
6,Pivot Solar 1 LLC (CSG),64649,CO,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-108.090731,39.414671&level=14",-108.090731,39.414671
7,Pivot Solar 12 LLC(CSG),64359,CO,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-103.233735,40.613557&level=14",-103.233735,40.613557
8,Pivot Solar 14 LLC (CSG),64650,CO,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-103.657514,40.266898&level=14",-103.657514,40.266898
9,Pivot Solar 15 LLC (CSG),64652,CO,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-103.65937,40.266856&level=14",-103.65937,40.266856
0,Pivot Solar 2 LLC (CSG),64651,CO,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-103.657514,40.266898&level=14",-103.657514,40.266898
1,Pivot Solar 3 LLC (CSG),64654,CO,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-108.090731,39.414671&level=14",-108.090731,39.414671
2,Pivot Solar 4 LLC (CSG),64648,CO,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-104.777024,40.228419&level=14",-104.777024,40.228419
3,Pivot Solar 7 LLC (CSG),64653,CO,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-107.815344,39.523107&level=14",-107.815344,39.523107
4,Pivot Solar 8 LLC (CSG),64655,CO,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-104.771384,40.241166&level=14",-104.771384,40.241166
5,Pixar - Emeryville,59803,CA,IPP Non-CHP,FC,NG,Other Natural Gas,,,,Natural Gas,"map/?center=-122.284003,37.83286&level=14",-122.284003,37.83286
